LGA_NAME21,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Weipa,0.071523862,9,19.80285116,0,18.20849124,0,0,21,0,0.003405898,F,0.428571429,D,0.942992912,A,0,F,0.867071012,A,0.003405898,F,0.68578217,B,0.433535506,D
Wellington,0.97581781,11,74.64724632,0,69.41710027,0,0,82,0,0.011900217,F,0.134146341,F,0.910332272,A,0,F,0.846550003,A,0.011900217,F,0.522239307,C,0.423275002,D
Wentworth,1.583278015,4,22.8302377,0,21.8374488,1,0,26,0,0.060895308,F,0.153846154,F,0.878086066,A,0,F,0.839901877,A,0.060895308,F,0.51596611,C,0.419950938,D
West Arnhem,1.036654181,10,42.80282479,0,37.47896705,0,0,44,0,0.023560322,F,0.227272727,E,0.972791473,A,0,F,0.851794706,A,0.023560322,F,0.6000321,C,0.425897353,D
West Arthur,0.661102742,4,17.9352318,0,24.31999063,0,0,30,0,0.022036758,F,0.133333333,F,0.59784106,C,0,F,0.810666354,B,0.022036758,F,0.365587197,D,0.405333177,D
West Coast,0.453016236,11,37.35106033,0,34.7327077,0,0,41,0,0.011049176,F,0.268292683,E,0.911001471,A,0,F,0.847139212,A,0.011049176,F,0.589647077,C,0.423569606,D
West Daly,0.071747741,9,29.15025051,0,25.02505725,0,0,30,0,0.002391591,F,0.3,E,0.971675017,A,0,F,0.834168575,A,0.002391591,F,0.635837509,C,0.417084288,D
West Tamar,2.485642691,15,41.94353587,0,43.56630887,0,0,53,0,0.046898919,F,0.283018868,E,0.791387469,B,0,F,0.822005828,B,0.046898919,F,0.537203169,C,0.411002914,D
West Torrens,0.186917755,4,24.24386703,0,22.20810029,0,0,26,0,0.007189144,F,0.153846154,F,0.932456424,A,0,F,0.854157703,A,0.007189144,F,0.543151289,C,0.427078852,D
West Wimmera,0.143648652,8,41.01185515,0,46.25394938,0,0,55,0,0.002611794,F,0.145454545,F,0.745670094,B,0,F,0.840980898,A,0.002611794,F,0.44556232,D,0.420490449,D
